feature,importance
phase_alignment_gap,0.30366084989642117
over_all_progress_percentages,0.24304554311426887
remaining_to_complete,0.19723123702833906
progress_rolling3w,0.07452469646974745
progress_lag2,0.04140911575154886
progress_lag1,0.019754204784254565
days_to_target,0.011205407327248595
plan_cumcurrentmonthplanfrac,0.010435474716220357
well_type,0.00913660787854305
is_overdue_target,0.008892441479625982
plan_curve_gap,0.0073697687835995165
progress_lag4,0.0070510440067291695
stall_4w_flag,0.006501390529089462
plan_5w_total,0.005728333216407597
sap_pdo_well_type,0.005057673389628712
sap_work_center,0.004257283908682988
sap_field,0.004084309287333409
rig_no,0.003359991253008455
stall_1w_flag,0.003085670757699545
plan_w2_plan_frac,0.0028408344764896862
sap_rig_load,0.0026391091038157773
report_current_month_gap,0.0025296385147201123
access_road_5,0.002405322030043518
cellar_20,0.002126971925331298
progress_velocity,0.0021092454998007503
plan_w4_plan_frac,0.0019977368544757505
plan_w1_plan_frac,0.0018470486549835715
overdue_target_days,0.0018430763536646884
project_name,0.0016648135750314886
earth_work_60,0.0016070540732413031
pe_fussion_pull_20,0.0013993881585667104
water_2,0.001318033889292083
ohl_progress,0.001209678478486156
progress_accel,0.0011407978261812766
plan_w3_plan_frac,0.0011256355074282358
phase_std_progress,0.0009007741113852634
overall_const_10_100,0.0008368752062734048
plan_w5_plan_frac,0.0006893168692263523
engg_kpi_after_rig_off_days,0.0005707119389019831
phase_mean_progress,0.0005363918324447921
overall_loc_preparation_10_100,0.0004805576126721166
beam_pump_base_esp_pcp_foundation_5,0.00038994392914687437
buffer_status,0.0
overall_ohl_progr_100,0.0
overall_engg_10_100,0.0
overall_comm_progress_100,0.0
flowline_construction_progress,0.0
phase_min_progress,0.0
phase_max_progress,0.0
sap_move_days_max,0.0
sap_move_days_mean,0.0
